epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9210.28,0.6277,0.73103,1.08587,1,0.69157,0.83327,0.74215,0.51284,0.59185,1.04429,0.000307,0.000307,0.000307
44,9427.06,0.57365,0.67459,1.05807,0.99512,0.69497,0.83071,0.74441,0.50825,0.57049,1.04154,0.0002905,0.0002905,0.0002905
45,9643.44,0.63378,0.72522,1.08988,0.99551,0.69776,0.82745,0.74188,0.507,0.5451,1.0359,0.000274,0.000274,0.000274
46,9854.41,0.52175,0.61057,1.01322,0.99963,0.69182,0.80573,0.7276,0.52581,0.55753,1.03976,0.0002575,0.0002575,0.0002575
47,10065.7,0.56997,0.67059,1.05638,0.98667,0.69825,0.83739,0.74256,0.52219,0.54986,1.05334,0.000241,0.000241,0.000241
48,10278.1,0.58323,0.67512,1.06893,0.9955,0.69493,0.83195,0.73844,0.50895,0.59339,1.03656,0.0002245,0.0002245,0.0002245
49,10490.8,0.57636,0.67637,1.05001,1,0.69164,0.8387,0.74687,0.48731,0.52679,1.01998,0.000208,0.000208,0.000208
50,10706.2,0.54986,0.60889,1.03255,0.98471,0.70126,0.83398,0.74626,0.47276,0.53171,1.0135,0.0001915,0.0001915,0.0001915
51,10920.4,0.56523,0.63987,1.05617,0.99553,0.70113,0.83352,0.74432,0.48834,0.52018,1.02291,0.000175,0.000175,0.000175
52,11134.7,0.5575,0.63005,1.04408,0.98424,0.7044,0.836,0.74575,0.49184,0.52491,1.02424,0.0001585,0.0001585,0.0001585
53,11346.6,0.547,0.61239,1.04299,0.99549,0.69486,0.82981,0.74348,0.49374,0.52698,1.02401,0.000142,0.000142,0.000142
54,11557.1,0.52926,0.59855,1.0368,0.9642,0.71384,0.84017,0.74322,0.50381,0.53264,1.03024,0.0001255,0.0001255,0.0001255
55,11768.2,0.55732,0.63548,1.06472,0.9756,0.70126,0.84408,0.74479,0.49613,0.53056,1.02867,0.000109,0.000109,0.000109
56,11978.7,0.55441,0.61389,1.05241,0.99549,0.69454,0.83705,0.74313,0.50354,0.53747,1.03644,9.25e-05,9.25e-05,9.25e-05
57,12189.2,0.53021,0.60138,1.04326,0.994,0.69497,0.83932,0.74348,0.50594,0.53594,1.03835,7.6e-05,7.6e-05,7.6e-05
58,12397.5,0.52729,0.58923,1.04248,0.99105,0.69612,0.84437,0.74709,0.49873,0.52998,1.04026,5.95e-05,5.95e-05,5.95e-05
59,12604,0.5289,0.57899,1.04378,0.98471,0.69811,0.84666,0.74756,0.49953,0.52832,1.04267,4.3e-05,4.3e-05,4.3e-05
60,12810.3,0.54386,0.59958,1.05098,0.98323,0.69811,0.84271,0.74687,0.49648,0.52152,1.0397,2.65e-05,2.65e-05,2.65e-05
